Run,Top-1,Top-50,Baseline
66,-126.45254629629638,-176.27513888888888,0.0
67,-125.96960648148158,-178.9061111111111,0.0
68,-125.48666666666676,-181.53708333333333,0.0
69,-125.00372685185195,-184.16805555555555,0.0
70,-124.52078703703714,-186.79902777777778,0.0
71,-124.03784722222234,-189.43,0.0
72,-123.55490740740753,-192.06097222222223,0.0
73,-123.07196759259271,-194.69194444444443,0.0
74,-122.5890277777779,-197.32291666666666,0.0
75,-122.1060879629631,-199.95388888888888,0.0
76,-121.62314814814829,-202.5848611111111,0.0
77,-121.14020833333348,-205.21583333333334,0.0
78,-120.65726851851866,-207.84680555555556,0.0
79,-120.17432870370386,-210.4777777777778,0.0
80,-119.69138888888905,-213.10875,0.0
81,-119.20844907407424,-215.7397222222222,0.0
82,-118.72550925925943,-218.37069444444444,0.0
83,-118.24256944444463,-221.00166666666667,0.0
84,-117.75962962962981,-223.6326388888889,0.0
85,-117.276689814815,-226.26361111111112,0.0
86,-116.79375000000019,-228.89458333333334,0.0
87,-116.31081018518539,-231.52555555555554,0.0
88,-115.82787037037058,-234.15652777777777,0.0
89,-115.34493055555576,-236.7875,0.0
90,-114.86199074074095,-239.41847222222222,0.0
91,-114.37905092592615,-242.04944444444445,0.0
92,-113.89611111111134,-244.68041666666667,0.0
93,-113.41317129629653,-247.3113888888889,0.0
94,-112.93023148148171,-249.9423611111111,0.0
95,-112.44729166666691,-252.57333333333332,0.0
96,-111.9643518518521,-255.20430555555555,0.0
97,-111.48141203703729,-257.8352777777778,0.0
98,-110.99847222222247,-260.46625,0.0
99,-110.51553240740768,-263.09722222222223,0.0
100,-110.03259259259286,-265.72819444444445,0.0
101,-109.54965277777805,-264.5737916666667,0.0
102,-109.06671296296324,-263.4193888888889,0.0
103,-108.58377314814844,-262.2649861111111,0.0
104,-108.10083333333363,-261.11058333333335,0.0
105,-107.61789351851881,-259.9561805555556,0.0
106,-107.134953703704,-258.80177777777783,0.0
107,-106.6520138888892,-257.64737500000007,0.0
108,-106.16907407407439,-256.49297222222225,0.0
109,-105.68613425925957,-255.33856944444452,0.0
110,-105.20319444444476,-254.18416666666673,0.0
111,-104.72025462962996,-253.02976388888897,0.0
112,-104.23731481481515,-251.87536111111118,0.0
113,-103.75437500000034,-250.7209583333334,0.0
114,-103.27143518518552,-249.56655555555565,0.0
115,-102.78849537037073,-248.41215277777786,0.0
116,-102.30555555555591,-247.2577500000001,0.0
117,-101.8226157407411,-246.10334722222234,0.0
118,-101.33967592592629,-244.94894444444455,0.0
119,-100.85673611111149,-243.7945416666668,0.0
120,-100.37379629629667,-242.64013888888903,0.0
121,-99.89085648148186,-241.48573611111124,0.0
122,-99.40791666666705,-240.33133333333348,0.0
123,-98.92497685185225,-239.1769305555557,0.0
124,-98.44203703703744,-238.02252777777792,0.0
125,-97.95909722222262,-236.86812500000016,0.0
126,-97.47615740740781,-235.7137222222224,0.0
127,-96.99321759259301,-234.5593194444446,0.0
128,-96.5102777777782,-233.40491666666685,0.0
129,-96.02733796296339,-232.2505138888891,0.0
130,-95.54439814814857,-231.0961111111113,0.0
131,-95.06145833333377,-229.94170833333354,0.0
132,-94.57851851851896,-228.78730555555578,0.0
133,-94.09557870370415,-227.63290277777799,0.0
134,-93.61263888888934,-226.47850000000022,0.0
135,-93.12969907407454,-225.32409722222246,0.0
136,-92.64675925925972,-224.16969444444467,0.0
137,-92.16381944444491,-223.0152916666669,0.0
138,-91.6808796296301,-221.86088888888912,0.0
139,-91.1979398148153,-220.70648611111136,0.0
140,-90.71500000000049,-219.5520833333336,0.0
141,-90.23206018518567,-218.3976805555558,0.0
142,-89.74912037037086,-217.24327777777805,0.0
143,-89.26618055555606,-216.0888750000003,0.0
144,-88.78324074074125,-214.9344722222225,0.0
145,-88.30030092592644,-213.78006944444473,0.0
146,-87.81736111111162,-212.62566666666697,0.0
147,-87.33442129629682,-211.47126388888918,0.0
148,-86.85148148148201,-210.31686111111142,0.0
149,-86.3685416666672,-209.16245833333366,0.0
150,-85.88560185185239,-208.00805555555587,0.0
151,-85.40266203703759,-206.8536527777781,0.0
152,-84.91972222222277,-205.69925000000035,0.0
153,-84.43678240740796,-204.54484722222256,0.0
154,-83.95384259259315,-203.3904444444448,0.0
155,-83.47090277777835,-202.23604166666703,0.0
156,-82.98796296296354,-201.08163888888924,0.0
157,-82.50502314814872,-199.92723611111148,0.0
158,-82.02208333333391,-198.77283333333372,0.0
159,-81.53914351851911,-197.61843055555593,0.0
160,-81.0562037037043,-196.46402777777817,0.0
161,-80.57326388888949,-195.30962500000038,0.0
162,-80.09032407407467,-194.15522222222262,0.0
163,-79.60738425925987,-193.00081944444486,0.0
164,-79.12444444444506,-191.84641666666707,0.0
165,-78.64150462963025,-190.6920138888893,0.0
166,-78.15856481481543,-189.53761111111154,0.0
167,-77.67562500000064,-188.38320833333376,0.0
168,-77.19268518518582,-187.228805555556,0.0
169,-76.70974537037101,-186.07440277777823,0.0
170,-76.2268055555562,-184.92000000000044,0.0
171,-75.7438657407414,-183.76559722222268,0.0
172,-75.26092592592659,-182.61119444444492,0.0
173,-74.77798611111177,-181.45679166666713,0.0
174,-74.29504629629696,-180.30238888888937,0.0
175,-73.81210648148216,-179.1479861111116,0.0
176,-73.32916666666735,-177.99358333333382,0.0
177,-72.84622685185253,-176.83918055555606,0.0
178,-72.36328703703772,-175.6847777777783,0.0
179,-71.8803472222229,-174.5303750000005,0.0
180,-71.39740740740808,-173.37597222222274,0.0
181,-70.91446759259327,-172.22156944444498,0.0
182,-70.43152777777846,-171.0671666666672,0.0
183,-69.94858796296363,-169.91276388888943,0.0
184,-69.46564814814882,-168.75836111111167,0.0
185,-68.982708333334,-167.60395833333388,0.0
186,-68.49976851851918,-166.44955555555612,0.0
187,-68.01682870370436,-165.29515277777833,0.0
188,-67.53388888888955,-164.14075000000057,0.0
189,-67.05094907407472,-162.9863472222228,0.0
190,-66.56800925925991,-161.831944444445,0.0
191,-66.0850694444451,-160.67754166666725,0.0
192,-65.60212962963027,-159.5231388888895,0.0
193,-65.11918981481546,-158.3687361111117,0.0
194,-64.63625000000064,-157.21433333333394,0.0
195,-64.15331018518582,-156.05993055555618,0.0
196,-63.670370370371,-154.9055277777784,0.0
197,-63.18743055555618,-153.75112500000063,0.0
198,-62.70449074074137,-152.59672222222287,0.0
199,-62.22155092592655,-151.44231944444508,0.0
200,-61.73861111111173,-150.28791666666731,0.0
201,-61.25567129629692,-149.13351388888955,0.0
202,-60.7727314814821,-147.97911111111176,0.0
203,-60.289791666667284,-146.824708333334,0.0
204,-59.806851851852464,-145.67030555555624,0.0
205,-59.323912037037644,-144.51590277777845,0.0
206,-58.84097222222283,-143.3615000000007,0.0
207,-58.35803240740801,-142.20709722222293,0.0
208,-57.87509259259319,-141.05269444444514,0.0
209,-57.39215277777838,-139.89829166666738,0.0
210,-56.90921296296356,-138.74388888888961,0.0
211,-56.42627314814874,-137.58948611111182,0.0
212,-55.943333333333925,-136.43508333333406,0.0
213,-55.460393518519105,-135.28068055555627,0.0
214,-54.97745370370429,-134.1262777777785,0.0
215,-54.49451388888947,-132.97187500000075,0.0
216,-54.01157407407465,-131.81747222222296,0.0
217,-53.52863425925984,-130.6630694444452,0.0
218,-53.04569444444502,-129.50866666666744,0.0
219,-52.5627546296302,-128.35426388888965,0.0
220,-52.079814814815386,-127.19986111111189,0.0
221,-51.596875000000566,-126.04545833333411,0.0
222,-51.113935185185746,-124.89105555555635,0.0
223,-50.63099537037093,-123.73665277777857,0.0
224,-50.14805555555611,-122.5822500000008,0.0
225,-49.66511574074129,-121.42784722222304,0.0
226,-49.18217592592648,-120.27344444444526,0.0
227,-48.69923611111166,-119.11904166666748,0.0
228,-48.216296296296846,-117.96463888888972,0.0
229,-47.733356481482026,-116.81023611111195,0.0
230,-47.250416666667206,-115.65583333333417,0.0
231,-46.76747685185239,-114.5014305555564,0.0
232,-46.28453703703757,-113.34702777777864,0.0
233,-45.80159722222275,-112.19262500000086,0.0
234,-45.31865740740794,-111.03822222222308,0.0
235,-44.83571759259312,-109.88381944444532,0.0
236,-44.3527777777783,-108.72941666666755,0.0
